Date,1. open,2. high,3. low,4. close,5. volume
2024-05-15,167.9400,168.3500,167.3400,168.2600,4451767
2024-05-14,167.8600,168.1300,166.4800,167.3600,2600967
2024-05-13,167.5000,168.0600,166.7600,167.5600,2414859
2024-05-10,167.1300,168.0700,166.3200,167.1500,2255370
2024-05-09,167.5000,167.5500,165.8800,166.2700,4266616
2024-05-08,168.0100,170.2600,167.9000,169.9000,3522011
2024-05-07,169.0000,169.2900,167.9400,168.3800,3155260
2024-05-06,166.5000,168.6700,166.3800,168.6100,4222266
2024-05-03,165.0000,166.6100,164.9200,165.7100,3400405
2024-05-02,164.3500,164.8800,162.6200,164.6900,3829853
2024-05-01,165.6900,166.2700,164.3000,164.4300,4030960
2024-04-30,166.4900,166.7600,165.2605,166.2000,6011634
2024-04-29,167.4000,168.2200,166.2250,167.4300,5263342
2024-04-26,167.5000,167.8700,165.7300,167.1300,8983796
2024-04-25,168.2000,172.4500,165.6600,168.9100,16702150
2024-04-24,183.1700,184.2900,181.4000,184.1000,7616643
2024-04-23,182.7300,184.6800,179.0000,182.1900,5950229
2024-04-22,182.4500,183.3150,180.4500,181.9000,3076451
2024-04-19,182.4300,182.8000,180.5700,181.5800,3037990
2024-04-18,182.3500,183.4600,180.1700,181.4700,2886733
2024-04-17,184.1600,184.6700,181.7800,183.1000,3003033
2024-04-16,185.5900,185.7100,182.8600,183.7500,4473654
2024-04-15,185.5700,187.4800,180.8800,181.2500,3528140
2024-04-12,184.0000,185.1699,181.6850,182.2700,3547378
2024-04-11,186.0400,186.7950,184.5800,185.9000,2861736
2024-04-10,187.4200,187.9150,185.5200,186.0400,3081915
2024-04-09,190.5400,191.2500,186.6600,189.3100,2790673
2024-04-08,189.2400,190.2400,188.9118,189.8200,2673611
2024-04-05,188.5900,190.3200,188.0200,189.1400,2012428
2024-04-04,192.0000,193.2800,187.3400,187.9400,2924438
2024-04-03,188.6000,191.3500,188.4850,190.9000,2818910
2024-04-02,189.1400,189.8000,187.6000,188.8800,2689711
2024-04-01,190.0000,190.4600,188.5200,189.8300,2362586
2024-03-28,190.9400,191.9299,190.3400,190.9600,3742169
2024-03-27,189.6000,190.9600,188.6000,190.8000,3693305
